payment_id,ride_id,amount,payment_date
P000399,R001805,30.94,2026-02-22
P000400,R015558,35.12,2025-01-18
P000401,R012858,16.27,2025-10-28
P000402,R015806,32.45,2024-06-20
P000403,R003620,11.98,2025-12-30
P000404,R021048,33.75,2025-10-07
P000405,R013570,6.15,2026-01-15
P000406,R019172,32.67,2025-11-13
P000407,R002336,8.88,2024-09-21
P000408,R002443,18.11,2025-12-17
P000409,R014465,11.44,2025-05-05
P000410,R010365,41.9,2025-07-16
P000411,R004777,15.57,2025-07-11
P000412,R020656,20.53,2025-10-22
P000413,R024353,26.68,2025-06-16
P000414,R013031,16.21,2026-02-06
P000415,R002949,30.78,2024-12-09
P000416,R022150,15.03,2025-02-16
P000417,R000342,14.91,2025-11-06
P000418,R026007,26.57,2025-10-13
P000419,R002293,14.65,2025-10-01
P000420,R009919,38.94,2025-06-26
P000421,R003385,32.59,2025-11-26
P000422,R021925,31.28,2026-02-09
P000423,R029221,32.64,2024-12-04
P000424,R020682,32.09,2024-11-21
P000425,R013496,35.84,2025-01-30
P000426,R024836,41.01,2025-02-20
P000427,R026223,23.88,2024-10-02
P000428,R017420,18.32,2025-06-17
P000429,R009433,6.78,2024-12-24
P000430,R018884,13.02,2026-02-23
P000431,R009863,24.25,2025-04-06
P000432,R007278,9.86,2025-03-09
P000433,R007111,32.25,2024-06-27
P000434,R006077,28.1,2026-02-01
P000435,R000939,32.79,2026-05-18
P000436,R014727,34.65,2026-03-30
P000437,R008575,44.52,2025-10-28
P000438,R021483,37.15,2025-11-21
P000439,R005923,40.04,2025-08-05
P000440,R014735,14.32,2025-02-21
P000441,R008460,30.96,2025-12-05
P000442,R018971,11.14,2024-09-24
P000443,R012228,6.8,2026-05-13
P000444,R027776,22.51,2025-01-06
P000445,R012284,18.87,2025-12-05
P000446,R029918,10.47,2024-02-13
P000447,R016065,9.16,2026-02-11
P000448,R004619,33.45,2024-07-26
P000449,R027318,34.04,2026-03-15
P000450,R017832,34.72,2025-07-12
P000451,R008144,31.54,2025-05-29
P000452,R016863,17.95,2025-07-22
P000453,R015071,37.03,2024-12-18
P000454,R003331,38.81,2024-11-15
P000455,R003331,38.81,2024-11-15
P000456,R024554,7.26,2026-01-30
P000457,R011020,15.46,2025-12-18
P000458,R023244,36.28,2026-05-12
P000459,R024082,40.43,2025-04-06
P000460,R000635,28.69,2025-07-29
P000461,R007369,11.39,2026-06-20
P000462,R013569,45.53,2026-01-05
P000463,R000590,23.32,2024-10-07
P000464,R022011,19.08,2025-07-23
P000465,R025624,40.25,2025-07-25
P000466,R029095,6.45,2025-10-29
P000467,R020835,19.64,2025-11-29
P000468,R010696,5.07,2025-01-03
P000469,R004012,42.23,2026-02-01
P000470,R003794,29.07,2026-01-15
P000471,R002144,29.89,2025-05-17
P000472,R018140,31.25,2026-03-15
P000473,R009541,44.15,2024-05-24
P000474,R011951,32.91,2026-04-01
P000475,R012426,29.62,2026-03-06
P000476,R026192,30.74,2025-03-08
P000477,R022927,17.52,2025-10-31
P000478,R001312,34.47,2024-12-26
P000479,R000144,39.24,2026-06-13
P000480,R022494,36.95,2024-11-07
P000481,R014394,9.75,2026-01-25
P000482,R000666,16.94,2025-05-01
P000483,R025799,15.21,2026-05-24
P000484,R024426,18.58,2025-04-25
P000485,R008606,18.86,2025-05-30
P000486,R015421,18.32,2025-11-13
P000487,R018750,26.49,2025-02-06
P000488,R000527,12.39,2025-11-15
P000489,R022513,7.75,2025-06-11
P000490,R013410,33.69,2024-11-14
P000491,R029079,7.1,2025-06-05
P000492,R002781,32.11,2025-01-22
P000493,R010900,36.06,2024-11-27
P000494,R021777,10.52,2026-04-24
P000495,R010403,20.58,2024-02-20
P000496,R018230,14.36,2026-04-11
P000497,R027875,35.1,2024-12-22
P000498,R010296,11.13,2025-07-10
P000499,R017730,8.03,2026-02-01
P000500,R026474,34.2,2026-05-24
P000501,R028154,36.69,2025-10-23
P000502,R003366,28.12,2025-05-17
P000503,R000121,8.31,2025-08-07
P000504,R022128,28.3,2024-08-04
P000505,R002142,38.45,2025-03-24
P000506,R022220,40.14,2026-02-28
P000507,R020037,34.72,2025-06-11
P000508,R000542,39.75,2025-03-25
P000509,R023323,20.19,2026-02-22
P000510,R026133,18.47,2024-12-06
P000511,R010300,4.84,2025-09-27
P000512,R019222,22.05,2025-10-07
P000513,R029299,40.5,2025-08-01
P000514,R007473,10.22,2025-07-21
P000515,R001819,30.09,2024-11-01
P000516,R010146,31.1,2025-06-11
P000517,R020924,35.13,2025-04-02
P000518,R011039,21.77,2026-02-25
P000519,R017036,20.45,2025-08-21
P000520,R004238,15.88,2025-04-23
P000521,R021379,22.31,2026-05-25
P000522,R026658,10.66,2026-01-31
P000523,R009192,27.14,2025-12-01
P000524,R007628,46.01,2025-03-19
P000525,R021884,7.77,2025-01-14
P000526,R010793,9.77,2024-06-29
P000527,R022118,16.47,2025-04-03
P000528,R008371,19.67,2024-05-11
P000529,R028008,39.93,2024-11-24
P000530,R020715,14.0,2025-04-09
P000531,R020647,7.1,2026-05-11
P000532,R007399,30.9,2026-01-15
P000533,R007147,39.18,2024-06-07
P000534,R019422,21.22,2025-11-02
P000535,R002826,33.34,2026-01-06
P000536,R008165,19.05,2024-11-18
P000537,R022562,15.71,2024-08-26
P000538,R012157,19.35,2024-08-23
P000539,R020129,36.04,2025-11-25
P000540,R027740,23.28,2025-01-29
P000541,R004328,35.78,2025-11-30
P000542,R004313,26.87,2025-03-18
P000543,R011289,18.3,2025-12-23
P000544,R009150,19.16,2026-02-27
P000545,R005352,11.44,2025-06-14
P000546,R010663,43.18,2025-06-11
P000547,R016820,8.23,2025-06-14
P000548,R024921,39.43,2025-10-11
P000549,R023222,10.94,2025-07-17
P000550,R000853,5.32,2024-02-02
P000551,R025708,35.17,2025-08-03
P000552,R028425,8.29,2024-11-08
P000553,R006461,22.09,2025-09-04
P000554,R012506,11.9,2025-03-14
P000555,R017256,39.5,2024-11-19
P000556,R014704,15.55,2024-11-04
P000557,R012221,21.01,2024-05-01
P000558,R010987,32.54,2026-06-23
P000559,R009743,27.55,2025-06-11
P000560,R016907,20.86,2024-06-26
P000561,R026854,33.36,2025-02-16
P000562,R013323,6.54,2025-08-23
P000563,R012964,6.89,2026-03-23
P000564,R020726,35.9,2026-01-08
P000565,R005118,35.67,2026-04-05
P000566,R003419,17.1,2026-02-26
P000567,R010393,36.2,2025-05-24
P000568,R023740,13.45,2025-02-17
P000569,R021472,12.91,2026-01-19
P000570,R028051,34.92,2024-08-01
P000571,R019618,41.1,2024-12-12
P000572,R020361,38.29,2024-03-17
P000573,R025623,16.92,2025-03-11
P000574,R015542,13.74,2025-12-26
P000575,R000234,34.02,2024-03-17
P000576,R001671,18.08,2024-10-01
P000577,R016143,32.55,2026-06-09
P000578,R000944,8.77,2025-02-16
P000579,R024810,10.87,2025-03-07
P000580,R021213,19.28,2024-12-15
P000581,R001761,22.22,2024-12-26
P000582,R018999,31.67,2025-04-27
P000583,R002116,35.81,2025-02-28
P000584,R027168,18.32,2025-02-19
P000585,R018351,5.2,2025-12-01
P000586,R006162,29.45,2025-06-27
P000587,R028518,36.15,2024-11-20
P000588,R000217,26.54,2026-01-29
P000589,R029822,20.95,2026-02-24
P000590,R025849,19.01,2025-11-04
P000591,R005065,31.94,2025-06-19
P000592,R014909,6.23,2025-07-03
P000593,R022603,6.28,2025-07-05
P000594,R026683,9.71,2026-02-11
P000595,R004861,7.61,2024-08-04
P000596,R022789,16.83,2026-06-12
P000597,R020010,17.93,2025-07-31
P000598,R026328,36.09,2026-05-25
P000599,R005062,26.78,2025-12-29
P000600,R010745,19.49,2025-11-23
P000601,R013236,20.72,2025-02-13
P000602,R019547,37.06,2025-05-21
P000603,R002936,12.63,2024-08-06
P000604,R025297,6.31,2025-10-28
P000605,R011631,16.13,2025-02-27
P000606,R002137,16.18,2025-09-26
P000607,R003467,19.28,2025-08-08
P000608,R016018,11.0,2024-12-28
P000609,R024591,13.8,2025-12-01
P000610,R015904,38.43,2024-11-23
P000611,R006315,14.18,2024-11-26
P000612,R007341,33.39,2025-12-01
P000613,R013232,9.82,2025-09-01
P000614,R025077,5.41,2025-12-09
P000615,R002561,26.32,2026-02-04
P000616,R006874,27.61,2025-08-02
P000617,R022858,10.39,2024-05-21
P000618,R010335,14.89,2026-06-16
P000619,R020540,18.89,2026-04-10
P000620,R023703,27.51,2024-12-13
P000621,R012655,7.97,2025-02-24
P000622,R024807,11.31,2025-03-31
P000623,R016356,15.23,2025-12-17
P000624,R000591,27.15,2026-03-21
P000625,R017570,31.32,2026-06-02
P000626,R011379,28.84,2025-10-20
P000627,R007546,37.89,2024-07-16
P000628,R019535,39.81,2025-04-20
P000629,R028512,31.43,2025-04-11
P000630,R011036,33.49,2025-11-06
P000631,R018361,21.63,2025-08-13
P000632,R012586,18.41,2025-05-08
P000633,R019206,6.74,2026-01-29
P000634,R004180,41.12,2026-01-17
P000635,R019151,22.05,2024-06-12
P000636,R000632,25.66,2026-02-07
P000637,R001859,19.39,2025-01-08
P000638,R007299,41.62,2026-05-24
P000639,R014290,38.84,2025-04-04
P000640,R008677,11.35,2026-02-04
P000641,R010697,8.26,2025-09-04
P000642,R022813,15.49,2024-10-08
P000643,R004696,13.76,2024-05-14
P000644,R002568,5.7,2025-08-20
P000645,R001659,13.23,2025-08-30
P000646,R011765,11.65,2026-03-25
P000647,R007954,26.95,2025-03-07
P000648,R030259,23.78,2025-02-21
P000649,R016990,33.18,2025-06-25
P000650,R019330,27.43,2025-11-04
P000651,R013740,36.02,2025-07-18
P000652,R020004,38.9,2026-04-03
P000653,R018167,25.99,2025-02-21
P000654,R015629,15.82,2024-12-18
P000655,R025948,44.43,2025-12-27
P000656,R011988,24.71,2026-06-15
P000657,R024269,35.18,2025-01-16
P000658,R000457,32.24,2024-11-17
P000659,R028307,15.15,2026-06-05
P000660,R001137,24.72,2025-05-05
P000661,R019608,16.17,2025-08-11
P000662,R000029,30.81,2024-09-16
P000663,R022224,15.1,2025-02-07
P000664,R015461,31.99,2025-03-10
P000665,R027088,38.67,2024-10-13
P000666,R011744,18.75,2025-11-11
P000667,R006156,5.31,2025-02-04
P000668,R021725,22.84,2026-05-07
P000669,R026509,17.42,2026-01-06
P000670,R012183,16.53,2025-08-14
P000671,R003257,42.34,2024-10-01
P000672,R022626,33.92,2026-06-17
P000673,R016328,10.78,2025-09-17
P000674,R013452,45.28,2026-06-10
P000675,R001643,27.68,2024-09-25
P000676,R017000,23.02,2024-11-26
P000677,R002409,33.46,2025-02-23
P000678,R017587,20.59,2025-12-24
P000679,R015847,5.73,2024-12-04
P000680,R012637,18.99,2026-02-25
P000681,R028389,38.75,2026-02-03
P000682,R016882,5.05,2026-01-10
P000683,R016315,15.58,2026-03-04
P000684,R002164,27.51,2025-01-15
P000685,R018006,22.04,2025-06-04
P000686,R022605,7.13,2024-10-29
P000687,R014227,33.63,2024-09-19
P000688,R008908,22.26,2024-12-02
P000689,R008990,21.23,2026-05-27
P000690,R014379,24.26,2025-03-16
P000691,R000311,19.19,2024-12-26
P000692,R010859,11.48,2024-11-05
P000693,R018030,14.43,2025-11-22
P000694,R012779,7.26,2026-04-22
P000695,R020688,32.13,2025-11-12
P000696,R019294,25.12,2025-10-21
P000697,R002425,24.28,2025-03-06
P000698,R023544,45.32,2025-08-30
P000699,R002797,29.19,2026-03-25
P000700,R010706,10.94,2025-03-19
P000701,R006023,19.58,2026-03-31
P000702,R020270,14.92,2025-03-13
P000703,R018993,36.56,2025-07-29
P000704,R029962,42.37,2024-05-21
P000705,R015217,16.81,2024-07-11
P000706,R000393,28.42,2025-12-14
P000707,R023893,13.5,2025-03-29
P000708,R013009,25.12,2026-01-22
P000709,R022893,8.47,2024-02-03
P000710,R026216,23.88,2025-10-19
P000711,R026220,9.34,2025-02-13
P000712,R015596,26.23,2024-09-19
P000713,R012205,11.07,2024-06-21
P000714,R028793,22.7,2025-12-13
P000715,R022211,6.99,2025-09-08
P000716,R029391,37.43,2024-11-04
P000717,R000406,8.67,2024-05-30
P000718,R024928,30.81,2025-09-25
P000719,R000664,27.34,2025-10-18
P000720,R027667,22.97,2026-05-25
P000721,R024096,6.06,2025-06-22
P000722,R004664,9.7,2025-04-27
P000723,R027882,38.94,2026-01-26
P000724,R028736,5.44,2025-03-24
P000725,R025741,30.06,2025-09-28
P000726,R024934,45.53,2025-09-13
P000727,R029192,35.46,2026-01-21
P000728,R005226,14.94,2026-02-02
P000729,R012704,9.94,2026-05-04
P000730,R009569,18.72,2026-03-02
P000731,R018238,44.89,2025-12-26
P000732,R016851,14.27,2026-03-30
P000733,R004604,26.3,2025-03-17
P000734,R005473,31.58,2024-12-23
