ride_id,user_id,ride_date,city,distance_km,fare_amount,payment_method,status
R015440,U00442,2026-05-03,Frankfurt,16.5,25.29,cash,completed
R023658,U00101,2026-04-14,Munich,13.2,20.35,apple_pay,completed
R011044,U01720,2024-10-30,Cologne,8.4,12.96,paypal,completed
R028313,U00059,2026-02-21,Frankfurt,17.3,28.93,paypal,completed
R007253,U00508,2025-11-23,Frankfurt,3.8,9.11,apple_pay,completed
R003649,U01828,2026-06-27,Frankfurt,24.6,34.93,apple_pay,completed
R009656,U01914,2024-07-10,Munich,11.5,17.96,apple_pay,completed
R003938,U01423,2025-06-23,Cologne,4.3,9.48,apple_pay,completed
R002042,U00014,2026-03-23,Munich,3.3,7.37,apple_pay,completed
R014329,U01830,2024-12-20,Frankfurt,5.3,9.68,apple_pay,completed
R022829,U00170,2024-07-15,Hamburg,8.3,15.34,paypal,completed
R002624,U00707,2025-03-01,Hamburg,19.6,31.59,paypal,completed
R001865,U01068,2026-03-22,Berlin,20.6,33.37,cash,completed
R011657,U01108,2025-11-23,Hamburg,11.2,20.03,apple_pay,completed
R008712,U00601,2025-05-30,Berlin,1.5,5.86,paypal,completed
R016036,U00253,2025-08-13,Berlin,9.7,17.54,apple_pay,completed
R029926,U00954,2024-07-24,Frankfurt,12.9,21.91,paypal,completed
R009723,U00332,2026-05-07,Cologne,19.3,33.1,paypal,completed
R007430,U01872,2025-07-01,Hamburg,11.8,21.77,card,completed
R008285,U01701,2025-03-26,Frankfurt,6.4,13.2,apple_pay,completed
R000469,U01031,2025-07-10,Berlin,12.3,22.48,cash,completed
R016042,U00060,2026-02-17,Frankfurt,7.8,14.41,card,completed
R022915,U01115,2025-12-29,Berlin,5.7,10.53,card,completed
R022546,U00760,2024-10-14,Munich,16.4,21.88,card,completed
R015189,U00349,2025-01-08,Berlin,18.8,31.36,paypal,completed
R010162,U00792,2026-06-20,Munich,16.4,21.91,card,completed
R006437,U00700,2025-08-18,Frankfurt,2.3,6.95,cash,completed
R022634,U01788,2026-04-13,Hamburg,24.3,37.66,cash,completed
R025958,U00998,2024-11-21,Hamburg,12.2,20.99,card,completed
R008911,U00017,2025-09-10,Frankfurt,25.9,42.41,paypal,completed
R029825,U00983,2025-11-20,Berlin,19.4,26.81,apple_pay,completed
R000279,U01367,2025-04-09,Berlin,6.0,12.01,card,completed
R008473,U00457,2026-06-10,Berlin,7.6,14.13,apple_pay,completed
R022585,U00161,2024-10-23,Cologne,2.8,7.89,cash,completed
R012461,U01312,2024-07-09,Hamburg,3.1,7.38,apple_pay,completed
R014965,U01068,2026-01-05,Cologne,15.1,23.48,apple_pay,completed
R022228,U00938,2026-04-13,Cologne,4.9,9.19,apple_pay,completed
R022799,U00632,2026-05-13,Munich,15.8,26.72,paypal,completed
R027550,U01071,2026-06-23,Hamburg,18.0,25.23,card,completed
R026262,U00687,2024-11-09,Cologne,5.9,11.45,apple_pay,completed
R001559,U00657,2025-12-16,Frankfurt,7.5,13.19,cash,completed
R008329,U00300,2025-02-06,Munich,12.0,20.38,card,completed
R001207,U00417,2024-09-23,Munich,18.5,28.75,cash,completed
R021545,U01658,2025-05-09,Munich,13.7,24.73,cash,completed
R002503,U00990,2026-03-15,Hamburg,22.8,39.33,card,completed
R010108,U00740,2025-07-04,Berlin,,33.79,apple_pay,completed
R014091,U01925,2025-04-03,Munich,15.4,25.91,paypal,completed
R002912,U01126,2025-12-14,Munich,10.9,16.04,apple_pay,completed
R022389,U00982,2025-10-14,Frankfurt,8.7,16.75,cash,completed
R024755,U00754,2025-03-13,Hamburg,5.8,11.33,card,completed
R008014,U01953,2025-09-27,Cologne,2.7,7.81,card,completed
R001377,U01997,2024-09-10,Hamburg,20.1,27.42,paypal,completed
R016953,U00878,2025-06-25,Munich,26.6,37.32,card,completed
R002672,U00889,2025-09-19,Hamburg,20.0,27.27,cash,completed
R005498,U00530,2025-12-11,Cologne,8.1,13.92,card,cancelled
R003242,U00650,2024-09-03,Frankfurt,3.4,8.51,apple_pay,completed
R018509,U00160,2026-05-12,Hamburg,7.1,13.52,card,completed
R008721,U01304,2024-10-14,Berlin,5.2,9.32,paypal,completed
R008687,U00615,2026-04-19,Frankfurt,5.8,12.11,cash,completed
R014364,U01252,2025-12-13,Frankfurt,12.8,19.19,card,completed
R003223,U01416,2026-05-25,Hamburg,23.5,31.18,card,completed
R029980,U00690,2024-12-28,Berlin,11.5,18.21,card,completed
R026345,U01506,2024-04-04,Frankfurt,23.3,36.37,apple_pay,completed
R026034,U01244,2026-03-15,Frankfurt,2.9,7.85,paypal,completed
R024217,U00710,2026-02-02,Cologne,15.5,27.66,paypal,completed
R008652,U00752,2024-09-16,Hamburg,7.0,13.95,paypal,completed
R020841,U01388,2025-05-06,Cologne,19.3,31.02,apple_pay,completed
R010218,U01927,2024-11-24,Frankfurt,,14.61,card,completed
R021819,U01126,2026-03-31,Munich,1.6,5.84,paypal,completed
R012216,U00965,2025-03-15,Frankfurt,13.5,24.41,card,completed
R022182,U00877,2025-09-05,Berlin,18.6,29.32,cash,completed
R019289,U00622,2024-10-05,Hamburg,8.4,14.73,paypal,completed
R013912,U00047,2024-10-18,Munich,22.5,29.86,cash,completed
R008113,U00849,2024-09-11,Munich,17.3,28.61,card,completed
R029517,U01615,2025-07-15,Munich,2.9,2.09,cash,cancelled
R025040,U01489,2025-12-05,Hamburg,7.3,15.09,cash,completed
R010441,U00624,2025-06-21,Cologne,1.6,5.64,card,completed
R019305,U01258,2025-12-17,Munich,2.0,6.65,cash,completed
R003004,U01689,2024-09-08,Frankfurt,15.0,22.58,cash,completed
R002917,U00543,2024-12-23,Munich,13.1,23.78,apple_pay,completed
R008769,U01542,2025-09-23,Cologne,5.7,11.7,paypal,completed
R010963,U01028,2025-04-13,Hamburg,5.4,10.12,apple_pay,completed
R012959,U00113,2024-10-30,Frankfurt,2.8,1.59,apple_pay,cancelled
R024983,U00909,2024-12-22,Frankfurt,26.6,37.74,card,completed
R003127,U00211,2025-11-22,Cologne,25.9,38.23,cash,completed
R007144,U01843,2025-06-14,Munich,26.8,40.63,apple_pay,completed
R009435,U01778,2025-07-08,Frankfurt,13.8,23.37,paypal,completed
R016513,U01158,2026-01-18,Cologne,5.9,12.07,card,completed
R028938,U00830,2025-04-24,Frankfurt,27.2,2.52,apple_pay,cancelled
R004383,U01806,2025-06-24,Munich,9.9,18.09,paypal,completed
R021119,U00974,2025-10-01,Frankfurt,15.7,27.3,paypal,completed
R017015,U01245,2025-07-31,Cologne,4.8,9.86,card,completed
R011192,U01548,2024-08-30,Cologne,6.2,12.79,paypal,completed
R017437,U01155,2025-05-07,Cologne,10.7,19.43,card,completed
R017069,U01234,2025-11-09,Hamburg,1.3,5.05,card,completed
R003362,U01400,2024-11-12,Berlin,4.8,2.26,cash,cancelled
R010543,U00564,2024-08-03,Munich,12.4,21.99,paypal,completed
R018761,U00625,2025-06-09,Munich,10.6,17.15,cash,completed
R001571,U01493,2026-03-25,Frankfurt,5.9,12.54,cash,completed
R014631,U01503,2025-12-30,Hamburg,4.6,0.09,apple_pay,cancelled
R021335,U01333,2025-05-25,Berlin,27.8,46.11,paypal,completed
R029942,U00285,2025-07-02,Cologne,8.6,15.83,cash,completed
R030203,U09155,2025-05-31,Frankfurt,16.8,25.34,paypal,completed
R002246,U00299,2025-04-13,Munich,22.0,34.22,paypal,completed
R005212,U01530,2025-01-25,Cologne,20.8,33.06,card,completed
R014451,U01878,2026-03-06,Frankfurt,24.1,39.19,cash,completed
R001067,U00792,2025-08-26,Munich,20.0,28.05,cash,completed
R006006,U00699,2024-09-18,Frankfurt,25.6,32.38,paypal,completed
R006263,U00862,2024-11-28,Munich,16.8,10.75,paypal,cancelled
R001425,U01480,2024-11-26,Munich,10.3,1.69,apple_pay,cancelled
R024916,U01246,2024-11-03,Cologne,6.5,12.95,card,completed
R006012,U01175,2025-05-29,Hamburg,27.4,37.32,card,completed
R013390,U00132,2025-04-09,Cologne,9.4,18.31,apple_pay,completed
R021704,U00485,2025-09-25,Berlin,19.5,31.4,apple_pay,completed
R003896,U00804,2025-12-24,Frankfurt,22.0,0.39,cash,cancelled
R021345,U00751,2025-03-10,Cologne,27.0,2.19,apple_pay,cancelled
R029496,U00719,2025-12-15,Berlin,23.7,29.83,paypal,completed
R018185,U00246,2025-07-12,Munich,8.1,14.74,apple_pay,completed
R000911,U00842,2025-10-17,Cologne,28.0,47.75,card,completed
R011879,U00473,2025-01-22,Berlin,22.1,38.01,card,completed
R014489,U01554,2025-02-02,Frankfurt,20.0,30.41,paypal,completed
R005603,U01303,2025-10-23,Cologne,15.7,22.86,apple_pay,completed
R020091,U01411,2025-05-23,Hamburg,7.9,14.6,cash,completed
R019785,U01413,2024-09-29,Cologne,10.8,15.61,apple_pay,completed
R014331,U01918,2024-10-23,Munich,8.7,16.92,card,completed
R021540,U01177,2025-12-05,Cologne,23.1,31.91,paypal,completed
R002275,U01268,2025-06-19,Frankfurt,18.6,29.86,cash,completed
R017211,U01014,2025-04-06,Cologne,13.7,24.52,paypal,completed
R002059,U01742,2025-05-31,Hamburg,3.6,7.68,paypal,completed
R022569,U00400,2026-04-14,Hamburg,19.8,25.38,card,completed
R008978,U00366,2026-03-05,Frankfurt,19.9,30.44,card,completed
R029921,U00409,2025-07-03,Frankfurt,24.6,40.79,paypal,completed
R021659,U00486,2025-08-16,Hamburg,4.5,9.05,apple_pay,completed
R003853,U00150,2025-05-10,Berlin,12.3,22.59,cash,completed
R020533,U01435,2024-09-09,Berlin,1.4,5.25,apple_pay,completed
R011078,U00482,2026-04-01,Berlin,27.9,37.05,paypal,completed
R015466,U01908,2025-01-07,Frankfurt,16.3,26.66,paypal,completed
R021496,U00834,2025-10-28,Berlin,25.8,39.25,cash,completed
R001889,U01639,2025-07-22,Cologne,21.0,34.26,apple_pay,completed
R005583,U00057,2024-08-24,Berlin,1.9,6.51,card,completed
R025118,U00786,2025-10-29,Berlin,22.0,34.39,cash,completed
R014263,U00718,2025-01-12,Cologne,6.7,11.3,paypal,completed
R019433,U00980,2025-08-06,Hamburg,24.6,38.52,card,completed
R020974,U00875,2025-07-05,Frankfurt,1.6,5.44,card,completed
R017474,U00733,2025-01-30,Cologne,17.0,24.44,apple_pay,completed
R028892,U00835,2025-08-14,Munich,,34.14,paypal,completed
R014060,U01449,2025-02-20,Munich,4.7,10.31,apple_pay,completed
R000858,U00556,2025-12-18,Munich,3.4,8.64,paypal,completed
R000409,U00710,2026-01-09,Cologne,11.1,20.34,cash,completed
R023127,U00891,2025-01-15,Munich,25.9,32.32,paypal,completed
R019510,U01700,2026-01-07,Hamburg,19.1,29.22,apple_pay,completed
R004232,U01077,2026-05-09,Cologne,23.8,35.97,apple_pay,completed
R013950,U00830,2025-10-26,Munich,13.9,21.89,apple_pay,completed
R009059,U01252,2025-05-08,Munich,16.2,27.12,cash,completed
R028643,U01114,2025-07-10,Munich,26.3,40.49,apple_pay,completed
R029399,U01961,2025-07-06,Munich,25.4,41.45,paypal,completed
R015556,U01984,2026-01-08,Berlin,25.2,34.87,card,completed
R007477,U01076,2024-10-07,Cologne,24.4,32.23,paypal,completed
R017320,U01850,2026-01-06,Berlin,19.7,33.18,card,completed
R026927,U00493,2024-12-30,Hamburg,26.6,45.14,apple_pay,completed
R021586,U01750,2025-12-21,Frankfurt,22.8,39.1,paypal,completed
R022855,U01816,2025-11-20,Hamburg,20.4,28.84,card,completed
R006185,U01948,2025-02-05,Berlin,19.7,30.42,cash,completed
R022501,U01169,2025-10-15,Munich,7.3,14.33,apple_pay,completed
R007207,U00788,2025-06-22,Berlin,8.2,15.03,apple_pay,completed
R016625,U01380,2026-04-13,Berlin,3.0,7.2,paypal,completed
R018397,U00668,2024-12-13,Berlin,12.9,24.06,cash,completed
R015953,U00426,2026-03-30,Munich,,28.46,cash,completed
R017994,U01602,2026-05-26,Hamburg,7.7,12.2,card,completed
R002410,U00434,2024-08-01,Frankfurt,18.9,24.35,apple_pay,completed
R020482,U01008,2025-09-08,Frankfurt,20.5,29.49,apple_pay,completed
R010606,U00827,2024-07-03,Cologne,27.4,41.02,cash,completed
R023504,U00427,2026-06-13,Munich,3.2,7.3,apple_pay,completed
R029091,U00041,2026-05-04,Munich,13.2,22.08,apple_pay,completed
R013641,U01713,2025-03-06,Munich,7.0,11.68,apple_pay,completed
R000207,U01891,2024-11-01,Cologne,27.5,1.05,card,cancelled
R016767,U00285,2025-09-02,Hamburg,1.9,5.94,apple_pay,completed
R010603,U00291,2025-05-27,Frankfurt,27.4,0.48,apple_pay,cancelled
R017107,U00582,2025-08-13,Munich,3.8,8.56,paypal,completed
R018441,U01280,2025-06-19,Hamburg,5.4,11.72,paypal,completed
R016788,U01029,2025-05-28,Cologne,12.6,22.16,paypal,completed
R020348,U01110,2024-08-26,Hamburg,17.2,25.01,apple_pay,completed
R011241,U01767,2026-05-02,Hamburg,21.5,28.1,paypal,completed
R007797,U00954,2024-06-29,Berlin,17.9,27.85,cash,completed
R010576,U00723,2025-10-15,Cologne,13.3,23.16,cash,completed
R010062,U01684,2025-06-26,Cologne,16.9,27.98,apple_pay,completed
R006919,U01997,2024-10-30,Cologne,19.1,30.02,apple_pay,completed
R025863,U00801,2024-10-12,Berlin,5.4,3.19,cash,cancelled
R013978,U01628,2025-06-29,Frankfurt,9.0,16.31,apple_pay,completed
R022930,U00623,2025-02-04,Munich,21.2,30.75,paypal,completed
R009603,U01267,2025-12-30,Frankfurt,16.7,29.48,apple_pay,completed
R020919,U00127,2026-03-08,Berlin,3.8,8.17,paypal,completed
R008448,U01481,2026-04-25,Berlin,26.5,3.49,apple_pay,cancelled
R023316,U01687,2025-04-11,Munich,20.9,27.7,paypal,completed
R021397,U01331,2024-02-15,Frankfurt,16.0,21.29,cash,completed
R015927,U00001,2025-10-23,Frankfurt,25.1,43.45,cash,completed
R012274,U00797,2025-03-27,Cologne,23.7,2.44,card,cancelled
R005637,U01220,2025-03-16,Munich,4.3,9.71,card,completed
R001837,U00987,2026-02-11,Frankfurt,15.8,22.87,paypal,completed
R000563,U01278,2025-07-29,Munich,1.3,4.94,card,completed
R029614,U01091,2025-12-21,Munich,17.2,26.72,cash,completed
R027653,U01861,2025-10-20,Munich,24.7,39.14,card,completed
R028290,U01441,2025-11-23,Frankfurt,12.9,22.64,apple_pay,completed
R019337,U01006,2024-09-25,Cologne,25.5,43.49,apple_pay,completed
R008956,U01601,2026-02-22,Frankfurt,5.9,12.65,card,completed
R016216,U01434,2025-10-01,Frankfurt,27.3,47.15,apple_pay,completed
R010402,U00954,2024-03-04,Hamburg,13.2,23.94,paypal,completed
R009451,U00328,2024-08-05,Berlin,16.3,23.03,cash,completed
R002156,U01433,2025-04-10,Cologne,12.2,17.25,apple_pay,completed
R020928,U00224,2025-09-02,Munich,7.3,3.72,apple_pay,cancelled
R021952,U00942,2025-04-18,Hamburg,14.2,24.09,paypal,completed
R017389,U00380,2025-12-30,Cologne,22.5,31.16,cash,completed
R013539,U01414,2026-01-15,Hamburg,7.8,12.63,paypal,completed
R026823,U00330,2025-01-20,Cologne,17.0,29.95,paypal,completed
R027274,U00466,2024-11-25,Hamburg,5.6,12.02,card,completed
R022035,U01415,2024-10-23,Cologne,27.1,43.75,cash,completed
R009204,U00652,2026-05-30,Hamburg,13.7,23.08,apple_pay,completed
R023270,U01078,2024-06-01,Frankfurt,3.4,8.03,cash,completed
R001007,U01056,2026-01-23,Munich,19.5,31.03,cash,completed
R003502,U00941,2024-09-19,Cologne,22.8,28.87,cash,completed
R007471,U00592,2025-11-26,Hamburg,5.5,10.43,apple_pay,completed
R000865,U00547,2025-11-09,Munich,3.1,7.68,apple_pay,completed
R013908,U01997,2024-09-24,Hamburg,21.7,28.47,paypal,completed
R006816,U00617,2024-10-20,Frankfurt,9.3,15.57,cash,completed
R027165,U00524,2025-09-14,Hamburg,27.9,39.46,cash,completed
R009741,U00319,2025-02-28,Cologne,1.9,5.64,apple_pay,completed
R000654,U00103,2025-04-08,Frankfurt,14.8,26.17,cash,completed
R018338,U00316,2026-01-14,Cologne,21.4,30.26,cash,completed
R011265,U00157,2025-02-05,Hamburg,15.8,21.5,cash,completed
R002820,U01616,2025-04-25,Frankfurt,3.6,7.92,cash,completed
R002950,U00363,2025-07-27,Hamburg,22.5,33.68,apple_pay,completed
R014667,U00489,2025-09-02,Frankfurt,12.7,23.8,cash,completed
R015726,U00671,2025-12-06,Cologne,19.6,27.16,apple_pay,completed
R005850,U00984,2024-09-07,Berlin,15.2,0.31,card,cancelled
R005299,U01758,2025-09-24,Hamburg,23.8,40.66,paypal,completed
R010406,U01264,2026-04-27,Frankfurt,25.7,43.01,paypal,completed
R011385,U00906,2024-05-17,Hamburg,2.3,6.08,paypal,completed
R013703,U01558,2025-05-28,Berlin,6.8,14.04,card,completed
R010454,U00726,2024-11-14,Munich,16.9,27.71,paypal,completed
R002872,U01738,2024-11-02,Berlin,4.4,8.75,card,completed
R022929,U01017,2025-10-22,Munich,3.4,8.59,paypal,completed
R015554,U00302,2024-08-06,Hamburg,23.8,30.23,apple_pay,completed
R013234,U00750,2024-06-21,Hamburg,18.6,3.09,paypal,cancelled
R024586,U01217,2025-06-22,Cologne,4.8,9.32,paypal,completed
R029359,U01323,2026-04-09,Frankfurt,10.3,17.33,paypal,completed
R009893,U01078,2024-05-01,Cologne,9.1,15.1,card,completed
R009265,U00768,2025-06-08,Berlin,18.3,31.43,cash,completed
R014887,U01036,2025-05-29,Hamburg,6.7,12.74,card,completed
R018835,U01339,2026-03-11,Frankfurt,26.1,23.21,apple_pay,cancelled
R024745,U01975,2026-05-11,Frankfurt,13.4,19.19,paypal,completed
R015128,U01786,2025-05-23,Frankfurt,19.2,30.21,card,completed
R008725,U01630,2025-10-18,Munich,22.2,37.99,card,completed
R029036,U01738,2024-07-22,Berlin,12.7,23.23,cash,completed
R003552,U00860,2025-07-11,Berlin,27.7,34.58,card,completed
R011808,U01936,2025-02-02,Frankfurt,4.7,9.06,apple_pay,completed
R023476,U01666,2026-03-30,Hamburg,15.7,22.58,paypal,completed
R011647,U01347,2024-11-21,Munich,20.9,29.94,card,completed
R007981,U01075,2025-07-13,Cologne,7.3,11.76,paypal,completed
R020437,U01791,2024-12-30,Berlin,24.3,42.18,cash,completed
R013465,U01261,2026-01-23,Hamburg,26.9,34.04,card,completed
R014673,U00560,2024-12-14,Munich,4.4,9.55,cash,completed
R027620,U00231,2026-04-18,Munich,18.0,25.53,cash,completed
R018661,U00948,2025-09-22,Cologne,17.0,25.76,card,completed
R010200,U01317,2025-09-17,Frankfurt,11.1,18.07,apple_pay,completed
R004665,U01278,2025-06-15,Frankfurt,20.6,30.14,apple_pay,completed
R011030,U01854,2025-11-04,Berlin,24.2,33.27,cash,completed
R009641,U01109,2026-01-15,Frankfurt,10.1,17.46,apple_pay,completed
R025528,U00593,2024-12-13,Cologne,23.7,32.66,card,completed
R022117,U00409,2025-10-20,Frankfurt,21.7,30.65,apple_pay,completed
R007778,U01195,2025-01-25,Cologne,13.9,25.64,cash,completed
R007687,U01806,2025-06-06,Cologne,27.0,43.88,apple_pay,completed
R025119,U00835,2025-01-27,Frankfurt,8.7,17.36,apple_pay,completed
R015060,U01827,2024-12-18,Munich,15.8,22.85,apple_pay,completed
R020427,U01848,2026-03-01,Berlin,21.2,31.67,card,completed
R023817,U00702,2025-09-30,Berlin,6.2,10.65,paypal,completed
R007560,U00415,2025-10-28,Hamburg,10.6,19.53,paypal,completed
R004849,U01816,2026-03-10,Cologne,15.4,26.62,apple_pay,completed
R013694,U00344,2024-12-08,Hamburg,22.7,35.66,paypal,completed
R016614,U00736,2025-08-07,Hamburg,24.3,31.95,paypal,completed
R005888,U00022,2026-05-10,Berlin,7.9,14.22,paypal,completed
R015522,U01658,2024-08-09,Munich,3.2,8.27,cash,completed
R002791,U00847,2025-05-19,Frankfurt,25.1,39.51,apple_pay,completed
R004611,U00180,2024-11-04,Frankfurt,10.9,17.66,cash,completed
R019962,U00465,2024-10-08,Hamburg,4.4,3.0,cash,cancelled
R014903,U01118,2024-12-17,Berlin,26.4,35.69,card,completed
R020054,U01420,2025-08-10,Cologne,9.7,15.56,card,completed
R026615,U00448,2024-12-11,Berlin,19.7,28.74,apple_pay,completed
R000151,U01281,2025-12-09,Berlin,2.4,6.39,cash,completed
R024548,U00660,2024-06-14,Cologne,3.0,8.04,paypal,completed
R011019,U00481,2025-12-25,Munich,12.8,20.3,card,completed
R001688,U00025,2026-05-22,Frankfurt,7.7,15.08,card,completed
R028978,U01719,2025-09-01,Munich,11.5,19.33,apple_pay,completed
R001063,U00050,2024-08-29,Berlin,25.6,35.5,cash,completed
R013233,U01692,2025-08-28,Berlin,5.7,11.04,paypal,completed
R023771,U00056,2025-09-07,Cologne,17.7,26.04,apple_pay,completed
R001888,U01852,2024-09-14,Munich,9.8,16.27,card,completed
R013305,U01113,2025-04-07,Frankfurt,22.4,36.15,card,completed
R028350,U01408,2024-09-08,Frankfurt,23.3,40.54,card,completed
R007312,U01732,2025-09-29,Cologne,18.5,24.4,cash,completed
R027050,U00465,2025-05-23,Hamburg,12.6,22.02,card,completed
R009468,U01605,2026-04-05,Munich,27.0,39.29,apple_pay,completed
R028215,U01133,2025-10-18,Frankfurt,24.9,40.79,apple_pay,completed
R008059,U00496,2026-05-01,Munich,18.7,0.44,apple_pay,cancelled
R023446,U01800,2025-05-01,Berlin,24.6,40.32,card,completed
R018682,U00707,2024-07-08,Munich,16.0,25.16,apple_pay,completed
R010083,U01835,2024-06-01,Frankfurt,12.7,23.56,apple_pay,completed
R024547,U00171,2024-12-29,Munich,22.5,34.81,card,completed
R016071,U01988,2025-07-05,Cologne,22.6,37.5,apple_pay,completed
R029369,U00357,2026-02-11,Munich,18.6,30.34,card,completed
R022597,U00699,2025-03-20,Frankfurt,12.3,20.96,apple_pay,completed
R014841,U00970,2025-01-07,Frankfurt,3.0,6.84,apple_pay,completed
R004298,U01124,2024-10-09,Munich,7.3,12.33,card,completed
R010027,U00837,2025-12-05,Cologne,17.0,24.94,paypal,completed
R011334,U01369,2024-11-07,Berlin,22.4,37.27,paypal,completed
R028534,U00338,2025-05-29,Munich,16.0,28.57,paypal,completed
R005964,U00968,2026-01-19,Munich,,10.6,card,completed
R024560,U00401,2026-06-17,Cologne,16.5,26.13,paypal,completed
R003399,U00088,2024-09-01,Frankfurt,5.5,10.38,card,completed
R021606,U00255,2025-09-30,Cologne,25.8,42.4,apple_pay,completed
R013922,U01530,2025-08-17,Munich,12.2,16.96,cash,completed
R004463,U00073,2025-10-14,Hamburg,2.0,0.16,apple_pay,cancelled
R019003,U00406,2025-09-20,Berlin,22.8,39.71,paypal,completed
R003936,U01895,2025-05-14,Cologne,22.8,33.42,apple_pay,completed
R026302,U00654,2026-05-05,Berlin,6.0,11.52,card,completed
R007970,U01089,2025-08-16,Berlin,6.0,1.4,paypal,cancelled
R017297,U00010,2025-12-08,Munich,11.1,21.17,apple_pay,completed
R014484,U00954,2024-09-15,Cologne,11.4,18.52,apple_pay,completed
R029436,U00009,2025-05-21,Hamburg,9.9,15.73,card,completed
R019865,U01656,2025-11-15,Cologne,17.5,30.55,apple_pay,completed
R009027,U01479,2026-03-16,Frankfurt,17.7,28.53,cash,completed
R019143,U00623,2024-09-23,Hamburg,14.5,22.3,apple_pay,completed
R017314,U00970,2024-11-28,Hamburg,22.8,32.49,card,completed
R009873,U01507,2024-08-18,Hamburg,6.6,14.03,apple_pay,completed
R012356,U01616,2025-11-30,Cologne,6.3,13.07,apple_pay,completed
R029616,U00342,2025-12-13,Cologne,19.3,3.09,cash,cancelled
R017268,U01303,2025-11-14,Hamburg,6.5,13.03,cash,completed
R011899,U00002,2024-10-12,Frankfurt,19.8,32.75,cash,completed
R004626,U01158,2025-12-29,Cologne,7.7,12.78,apple_pay,completed
R021400,U00011,2024-12-20,Munich,3.2,7.09,apple_pay,completed
R007876,U01380,2026-06-26,Hamburg,26.8,39.29,cash,completed
R013404,U00904,2026-04-20,Munich,7.9,0.49,card,cancelled
R025120,U01655,2026-01-13,Hamburg,24.0,37.48,apple_pay,completed
R013317,U00884,2026-01-27,Cologne,17.7,24.53,apple_pay,completed
R028758,U01410,2024-08-28,Frankfurt,2.7,6.67,apple_pay,completed
R016372,U01093,2024-03-02,Berlin,7.4,3.24,paypal,cancelled
R006911,U01584,2026-01-28,Frankfurt,24.3,33.19,card,completed
R012166,U01696,2025-05-07,Berlin,25.2,41.35,cash,completed
R011203,U01415,2024-07-27,Cologne,3.4,7.92,apple_pay,completed
R017114,U01513,2025-09-12,Cologne,11.5,19.74,card,completed
R029535,U01048,2025-11-25,Munich,1.4,5.19,apple_pay,completed
R028435,U01981,2025-12-28,Cologne,,11.62,paypal,completed
R019681,U01915,2026-06-08,Frankfurt,9.4,15.2,apple_pay,completed
R021976,U01600,2025-02-15,Munich,16.5,28.49,cash,completed
